ID,Ciudad,Descripcion,Precio,Superficie
31968803,Madrid,"Piso en calle de benigno soto, 5, Ciudad Jardín, Madrid",850,65 
85806783,Madrid,"Piso en paseo de la Esperanza, Acacias, Madrid",950,61 
95743229,Madrid,"Estudio en calle Pico Moncayo, 14, Numancia, Madrid",525, 
90040847,Madrid,"Piso en calle Cerro del Monte, 1, El Cañaveral - Los Berrocales, Madrid",799,86 
95745996,Madrid,"Piso en Goya, Madrid",2.250,155 
93325448,Madrid,"Piso en calle del Cerro del Monte, 1, El Cañaveral - Los Berrocales, Madrid",995,109 
95745990,Madrid,"Piso en calle de los Cacereños, Villaverde Alto, Madrid",700,50 
93661094,Madrid,"Piso en calle de la Vía Límite, 5, Ventilla-Almenara, Madrid",1.099,112 
95745835,Madrid,"Piso en calle de Ramón Serrano, Vista Alegre, Madrid",795,47 
93786156,Madrid,"Piso en calle del Cerro del Monte, 1, El Cañaveral - Los Berrocales, Madrid",975,116 
95745832,Madrid,"Estudio en calle del Salitre, Lavapiés-Embajadores, Madrid",745,Planta 2ª 
94665544,Madrid,"Piso en calle del Cerro del Monte, 19, El Cañaveral - Los Berrocales, Madrid",1.046,120 
95745751,Madrid,"Piso en calle de la Pueblanueva, Ensanche de Vallecas - La Gavia, Madrid",745,55 
95221143,Madrid,"Piso en calle de la Vía Límite, 69, Ventilla-Almenara, Madrid",950,77 
95744241,Madrid,"Piso en calle de José de Cadalso, Águilas, Madrid",740,70 
95430439,Madrid,"Piso en calle Laponia, 29, Horcajo, Madrid",1.050,109 
95745765,Madrid,"Piso en Corredera Baja de San Pablo, Malasaña-Universidad, Madrid",750,40 
95440450,Madrid,"Piso en calle de Mayorazgo de Duarte, 281, El Cañaveral - Los Berrocales, Madrid",895,85 
84888311,Madrid,"Piso en calle de Raimundo Fernández Villaverde, Madrid, Nuevos Ministerios-Ríos Rosas, Madrid",1.550,90 
95566659,Madrid,"Piso en calle de Mayorazgo de Duarte, 279, El Cañaveral - Los Berrocales, Madrid",899,112 
95745316,Madrid,"Piso en calle de Palas de Rey, Las Tablas, Madrid",1.200,101 
94676754,Madrid,"Piso en calle de Pirra, Rejas, Madrid",875,54 
95744718,Madrid,"Piso en avenida de los Arces, Palomas, Madrid",1.200,89 
92487672,Madrid,"Ático en avenida de los Toreros, 18, Guindalera, Madrid",1.650,59 
95744436,Madrid,"Piso en calle de Badalona, 51, Tres Olivos - Valverde, Madrid",595,34 
93951852,Madrid,"Piso en avenida de los Toreros, 18, Guindalera, Madrid",1.550,103 
95743816,Madrid,"Piso en calle del General Díaz Porlier, 13, Goya, Madrid",3.000,113 
92708151,Madrid,"Piso en calle Hermanos Machado, 16, Ventas, Madrid",950,63 
