Ciudad,Descripcion,Precio,Superficie
Berlin,Schöne 4-Zimmer-Altbauwohnung,2100,120
Berlin,2- Zimmer-Wohnung Altbau Friedrichshain befristet,1050,65
Berlin,Altbauwohnung in Berlin Neukölln im September,970,55
Berlin,Nov 4 - 6 short-term | bright + cozy apartment | Schillerkiez Neukölln next to Tempelhofer Field,150,74
Berlin,2 Zimmer Wohnung Nähe Maybachufer zu vermieten (Short time only),550,51
Berlin,Nice quiet 2 bedrooms apartment / Ruhige 2-Zimmerwohnung,1200,50
Berlin,Großzügige Villenetage in Hermsdorf zu vermieten,2200,120
Berlin,Furnished apartment in Neukolln // 1 week only -  1st - 7th November,400,65
Berlin,Nice Altbau apartment with 3 rooms for two months (Nov+Dec).,1250,85
Berlin,2 Bedrooms Apartment near Boxhagenerplatz (Friedrichshain),1400,72
Berlin,Sonnige Altbauwohnung mitten im Neuköllner Kiez,1200,66
Berlin,Untermiete für 8qm kleines Zimmer plus Gemeinschaftswohnzimmer im Grünen,335,58
Berlin,2 Zimmer Wohnung  in Berlin - Wilmersdorf,850,52
Berlin,"bright 2-room (60qm) Apartment + balcony, fully furnished, central location (Steglitz/Friedenau)",1300,60
Berlin,"Schöne 2,5-Zimmer-Wohnung in Berlin-Wilmersdorf in ruhiger Lage. Die angebotene Wohnung ist optimal an das ÖPNV-Netz (U-Bahnlinien 3+7, diverse Buslinien) angebunden. Der Kurfürstendamm ist 1,5 Kilometer entfernt.",1000,67
Berlin,Helle 2 Zimmer Wohnung in Moabit,1000,65
Berlin,Tausche 2-Zi-Whg Berlin gegen 2-Zi-Whg Potsdam,640,59
Berlin,2 room in Rudolfkiez(Ostkreuz),950,40
Berlin,Zwischenmiete in zentraler Lage,850,70
Berlin,"Große 1,5 Zimmer möblierte Wohnung in Mitte (Big furnished Apartment in Mitte)",805,40
Berlin,Two-room apartment in Wedding for 8 weeks,1250,60
Berlin,Sonnige 2-Zimmer Wohnung mit Balkon,950,64
Berlin,2 room apartment in Wedding/Gesundbrunnen,850,48
Berlin,Untermiete (möbliert) | Karlshorst | 65qm Wfl + 15qm Balkon | 01.12.2021-31.05.2022,1300,65
Berlin,"Musiker sucht Mitbewoher, Nichtraucher in sanierter, heller, ruhiger, 3 Zimmerwohnung, in Steglitz, Nähe Freie Universität.",600,20
Berlin,Flat with Balcony in Kreuzberg,900,55
Berlin,Handwerker-Wohnung 2 Etage Hinterhaus,1000,65
Berlin,Penthouse mit Aufzug Dachneuausbau mit zusätzlichen Büros möglich,2420,88
Berlin,"ONLY available Oct 20-26
Beautiful 2 rooms flat in Friedrichshain with super nice furniture and a lots of plants",65,54
Berlin,Cosy Neukölln 2 Room Flat,1200,60
Berlin,!NUR TAUSCH/SWAP ONLY! 2Z. gegen zentraler :),950,64
Berlin,Zwischenmiete 01/22 - 03/22 // Pankow // 2Zi // 80m2,1000,80
Berlin,2- Zimmer Wohnung (WG geeignet) in Prenzlauer Berg,1000,57
Berlin,Altbau Wohnung in Kreuzberg Zwischenmiete,1150,100
Berlin,Nice apartment with 2 rooms near of Tempelhof,4000,60
Berlin,Wunderschöne helle 2 Zimmerwohnung mit Balkon im Herzen von Kreuzberg zur Zwischenmiete vom 14.11.2021 bis 30.6.2021,1350,62
Berlin,Sunny apartment for your autumn break in Berlin,600,42
